Method,Time,Dataset,QueryFile,k,|V|,|E|,LoadDataTime,QueryNumber,TimeCost
EVE,2022/4/25 15:41,TestGraph1.graph,TestGraph1.graph_6.query,6,13,18,2.99,10,0.99
EVE,2022/4/25 15:41,TestGraph2.graph,TestGraph2.graph_6.query,6,25,69,6.98,10,0.99
